sample	line	cond	oxy	days	rate	prolif	splice	splice96
Sample_283	HC1	Galactose	21	127.95	0.135057620730075	-0.719623144764768	-0.33446524450481	-0.308376284395782
Sample_282	HC1	Galactose	21	113.95	0.146228185432537	-0.973992812649035	-0.32930618274315	-0.373949544902142
Sample_286	HC1	Galactose	21	162.9430556	0.156290429261152	-0.673451193943363	-0.508434542890987	-0.540897553000247
Sample_285	HC1	Galactose	21	156.0541667	0.165745078679513	-0.29689870238601	-0.154636735573317	-0.0940316374839477
Sample_337	HC2	Galactose	21	128.75	0.186275586268315	-0.607704778313294	-0.331425752702183	-0.357294314949951
Sample_284	HC1	Galactose	21	142.0263889	0.209952748087004	-0.209130435155469	0.0500763533106846	0.184817489010553
Sample_281	HC1	Galactose	21	92.98472222	0.299791627431021	-1.01698828010414	-0.181094971155813	-0.187310578725183
Sample_280	HC1	Galactose	21	71.86319444	0.38616056601902	-0.821031142393143	-0.405448897375167	-0.456226186283897
Sample_336	HC2	Galactose	21	121.9166667	0.42805221568057	0.291411941802408	0.224591781451438	0.221972223327232
Sample_335	HC2	Galactose	21	107.7083333	0.433603133548672	0.549887130095238	0.384193393765245	0.33057989414092
Sample_279	HC1	Galactose	21	57.94305556	0.499998120319566	-0.190953696056213	0.191732043600814	0.322302383241282
Sample_333	HC2	Galactose	21	72.66319444	0.54615873708411	0.0242543138690599	0.0286784999137644	0.00380344991473707
Sample_332	HC2	Galactose	21	58.74305556	0.565031475691648	0.538125457013819	0.368084752342562	0.329631248314994
Sample_334	HC2	Galactose	21	93.78472222	0.572934600278097	0.572602570997004	0.424995322098267	0.433102588384128
Sample_331	HC2	Galactose	21	44.71527778	0.624390640263587	0.569949242002983	0.392799712144285	0.332394559042311
Sample_330	HC2	Galactose	21	30.65277778	0.754684390632507	1.61294789386558	1.04832022853732	1.01704943878745
Sample_329	HC2	Galactose	21	16.68055556	0.780269738136589	1.13826580336833	0.974197315243838	0.934611244420512
Sample_165	HC2	Oligomycin	21	202.25	0.0179291723197658	-1.47635099702336	-0.16718582077833	0.254920372913659
Sample_170	HC3	Oligomycin	21	181.375	0.0408514356578162	-1.17053601292009	-0.952515236007742	-1.0700445496385
Sample_163	HC2	Oligomycin	21	143.2083333	0.068390697789315	-1.04714494911136	-0.588679485119417	-0.321605122717018
Sample_169	HC3	Oligomycin	21	85.08333333	0.109145091294021	-1.12134339929145	0.0340886419428289	0.294489933447415
Sample_162	HC2	Oligomycin	21	115.3333333	0.113002691839006	-0.597896307765202	0.0330646143578546	0.511646523156522
Sample_154	HC1	Oligomycin	21	68.08333333	0.135920807916001	-0.575169895697579	-0.0282290766976856	0.0999432357393635
Sample_164	HC2	Oligomycin	21	182.0833333	0.180743431124564	-0.28453998964609	-0.523373477946835	-0.509442698151071
Sample_155	HC1	Oligomycin	21	83.08333333	0.188002011048112	-0.606649441610828	0.824192345036631	1.61749321688793
Sample_156	HC1	Oligomycin	21	115	0.199423477694277	-0.656637462627682	0.822943505123495	1.67450005863923
Sample_161	HC2	Oligomycin	21	83.16666667	0.222473344571741	-0.219054883406732	0.0827921829714738	0.542926619225885
Sample_153	HC1	Oligomycin	21	52.95833333	0.229307223475257	-0.562983919949258	0.799421815494302	1.20726035675511
Sample_159	HC2	Oligomycin	21	53.04166667	0.31019323432085	0.57795771324086	1.42073095799004	2.29370870513338
Sample_168	HC3	Oligomycin	21	39.125	0.443852453932555	0.41939818999863	0.327660137077054	0.33545519263554
Sample_160	HC2	Oligomycin	21	68.29166667	0.461772664197511	1.14174399674367	0.313866181524346	0.30803969671766
Sample_152	HC1	Oligomycin	21	37.33333333	0.498783498429127	-0.0483514442814531	0.373833210371634	0.867407203746113
Sample_158	HC2	Oligomycin	21	38.04166667	0.53543487058079	1.85755664455829	0.953146828337298	0.811852981650962
Sample_167	HC3	Oligomycin	21	22.41666667	0.536117605193636	1.38121764766387	0.895213321641037	0.785478703656922
Sample_151	HC1	Oligomycin	21	21.20833333	0.608290237397806	1.55386966501057	0.955863296812724	0.939416431704258
Sample_157	HC2	Oligomycin	21	22.08333333	0.626622461156952	1.82467162546268	1.27465604472799	1.24858449659918
Sample_173	HC1	Oligomycin+DEX	21	52.95833333	0.155842598936114	0.684805194689919	0.722858806719074	1.34099763811958
Sample_172	HC1	Oligomycin+DEX	21	37.33333333	0.283949348173507	0.956829924932257	0.461969500173874	0.403862784705235
Sample_177	HC3	Oligomycin+DEX	21	22.41666667	0.322710599331639	1.05186514877329	0.551768428912924	0.494238346973251
Sample_174	HC2	Oligomycin+DEX	21	22.08333333	0.371320405259641	0.557809320551112	0.464997825813137	0.370514246250043
Sample_171	HC1	Oligomycin+DEX	21	21.20833333	0.408759255208808	0.367726465498523	0.402566334175304	0.283578768284694
Sample_175	HC3	Oligomycin+DEX	21	17.25	0.802580523781773	1.15148687615179	0.463592290212634	0.375054592938898
Sample_309	HC1	betahydroxybutyrate	21	162.9743056	0.0780327248042436	-1.32623448194903	-0.448757200250282	-0.535209526242255
Sample_307	HC1	betahydroxybutyrate	21	142.0576389	0.1405563101038	-1.23348091467466	-0.226637720686376	-0.346683631163909
Sample_306	HC1	betahydroxybutyrate	21	127.9916667	0.155413148559256	-1.14643897013439	-0.38210827378228	-0.551659051020928
Sample_305	HC1	betahydroxybutyrate	21	113.9986111	0.177310118531268	-1.33033566907939	-0.504269332065395	-0.678861829281408
Sample_308	HC1	betahydroxybutyrate	21	156.0854167	0.179501402365177	-1.27031495790395	-0.394982673625033	-0.473784024263411
Sample_304	HC1	betahydroxybutyrate	21	99.95	0.195928864175859	-1.05449392932567	-0.190684791076003	-0.120930910470329
Sample_358	HC2	betahydroxybutyrate	21	114.7986111	0.261010339129482	-0.470391704570781	-0.647316445912838	-0.934989189149209
Sample_357	HC2	betahydroxybutyrate	21	107.7743056	0.262692030267085	-0.366026490116647	-0.432814021247849	-0.491585788187044
Sample_303	HC1	betahydroxybutyrate	21	71.8875	0.346144560875925	-0.821117761101665	-0.390939098794368	-0.298613748826714
Sample_355	HC2	betahydroxybutyrate	21	72.6875	0.490456912453202	-1.01610971105993	-0.123516208843402	-0.161617745224081
Sample_356	HC2	betahydroxybutyrate	21	93.80555556	0.518482976974521	-0.810530496994191	-0.25678050360569	-0.495910935023245
Sample_301	HC1	betahydroxybutyrate	21	43.94652778	0.526323691600636	0.363191045591655	0.397484248306877	0.442104498234814
Sample_302	HC1	betahydroxybutyrate	21	57.96736111	0.565441222031569	-0.784876982432439	0.0159525474240811	0.0457756305492591
Sample_353	HC2	betahydroxybutyrate	21	44.74652778	0.568767813439107	0.894973947663013	0.229564042334341	0.0584919069334732
Sample_300	HC1	betahydroxybutyrate	21	29.90486111	0.571469593829108	0.279268025281845	0.448386559307015	0.528655593016796
Sample_354	HC2	betahydroxybutyrate	21	58.76736111	0.628268995165035	-0.388430410073537	-0.189453895902951	-0.325168277746943
Sample_352	HC2	betahydroxybutyrate	21	30.70486111	0.670484127271384	0.910498024186862	0.603404076603038	0.409721071690341
Sample_299	HC1	betahydroxybutyrate	21	15.88055556	0.689965952112168	-0.182310674381624	0.35118209217478	0.391110219834506
Sample_351	HC2	betahydroxybutyrate	21	16.68055556	0.780269738136589	1.21287807895761	0.870333563297095	0.735931106305585
